web-scraper-order,web-scraper-start-url,types_habits,prix,adresse,image_lien-src
"1752096583-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures Baskets","15 000CFA","Sénégal",""
"1752096583-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures Baskets","15 000CFA","","https://images.coinafrique.com/thumb_894226_uploaded_image1_1567186853.35.png"
"1752096583-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfants","8 000CFA","Sénégal",""
"1752096583-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfants","8 000CFA","","https://images.coinafrique.com/thumb_894185_uploaded_image1_1567186147.73.png"
"1752096583-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures","Prix sur demande","Dakar, Sénégal",""
"1752096583-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures","Prix sur demande","","https://images.coinafrique.com/thumb_892623_uploaded_image1_1567161532.45.png"
"1752096583-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
"1752096583-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_892617_uploaded_image1_1567161496.62.png"
"1752096583-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
"1752096583-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_892611_uploaded_image1_1567161455.24.png"
"1752096583-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","Dakar, Sénégal",""
"1752096583-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","Prix sur demande","","https://images.coinafrique.com/thumb_892593_uploaded_image1_1567161453.51.png"
"1752096583-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures pour enfant","13 000CFA","Sénégal",""
