web-scraper-order,web-scraper-start-url,types_habits,prix,adresse,image_lien-src
"1752103256-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandales","15 000CFA","Dieuppeul-Derklé, Dakar, Sénégal",""
"1752103256-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandales","15 000CFA","","https://images.coinafrique.com/thumb_4986015_uploaded_image1_1728527053.jpg"
"1752103256-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","30 000CFA","Colobane, Dakar, Sénégal",""
"1752103256-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","30 000CFA","","https://images.coinafrique.com/thumb_4985654_uploaded_image1_1728506967.jpg"
"1752103256-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Crocs homme","15 000CFA","Yoff, Dakar, Sénégal",""
"1752103256-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Crocs homme","15 000CFA","","https://images.coinafrique.com/thumb_4985495_uploaded_image1_1728502686.jpg"
"1752103256-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Claquettes homme","8 000CFA","Colobane, Dakar, Sénégal",""
"1752103256-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Claquettes homme","8 000CFA","","https://images.coinafrique.com/thumb_4985154_uploaded_image1_1728489228.jpg"
"1752103256-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures","35 000CFA","Colobane, Dakar, Sénégal",""
"1752103256-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures","35 000CFA","","https://images.coinafrique.com/thumb_4984872_uploaded_image1_1728480903.jpg"
"1752103256-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike TN","25 000CFA","Grand Dakar, Dakar, Sénégal",""
"1752103256-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike TN","25 000CFA","","https://images.coinafrique.com/thumb_4983389_uploaded_image1_1728406729.jpg"
"1752103256-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets homme","15 000CFA","Yoff, Dakar, Sénégal",""
"1752103256-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets homme","15 000CFA","","https://images.coinafrique.com/thumb_4982916_uploaded_image1_1728392811.jpg"
"1752103256-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussure","25 000CFA","Colobane, Dakar, Sénégal",""
"1752103256-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussure","25 000CFA","","https://images.coinafrique.com/thumb_4982698_uploaded_image1_1728385862.jpg"
"1752103256-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures original","15 000CFA","Colobane, Dakar, Sénégal",""
"1752103256-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures original","15 000CFA","","https://images.coinafrique.com/thumb_4982686_uploaded_image1_1728385451.jpg"
"1752103256-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures","32 000CFA","Colobane, Dakar, Sénégal",""
"1752103256-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures","32 000CFA","","https://images.coinafrique.com/thumb_4982679_uploaded_image1_1728385118.jpg"
"1752103256-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures hommes femmes","14 500CFA","Dakar, Sénégal",""
"1752103256-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures hommes femmes","14 500CFA","","https://images.coinafrique.com/thumb_4982051_uploaded_image1_1728346387.jpg"
"1752103256-23","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Adidas","25 000CFA","Dakar, Sénégal",""
"1752103256-24","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Adidas","25 000CFA","","https://images.coinafrique.com/thumb_4981775_uploaded_image1_1728333662.jpg"
"1752103256-25","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Colobane, Dakar, Sénégal",""
"1752103256-26","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","","https://images.coinafrique.com/thumb_4981539_uploaded_image1_1728321968.jpg"
"1752103256-27","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Jordan One","23 000CFA","Dakar, Sénégal",""
"1752103256-28","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Jordan One","23 000CFA","","https://images.coinafrique.com/thumb_4981453_uploaded_image1_1728317927.jpg"
"1752103256-29","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures Unisexes","Prix sur demande","Dakar, Sénégal",""
"1752103256-30","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures Unisexes","Prix sur demande","","https://images.coinafrique.com/thumb_4980037_uploaded_image1_1728234420.jpg"
"1752103256-31","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures","Prix sur demande","Yoff, Dakar, Sénégal",""
"1752103256-32","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures","Prix sur demande","","https://images.coinafrique.com/thumb_4979364_uploaded_image1_1728178405.jpg"
"1752103256-33","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets New Balance 1000","25 000CFA","Mariste, Dakar, Sénégal",""
"1752103256-34","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets New Balance 1000","25 000CFA","","https://images.coinafrique.com/thumb_4979032_uploaded_image1_1728155699.jpg"
"1752103256-35","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Adidas Campus","25 000CFA","Mariste, Dakar, Sénégal",""
"1752103256-36","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Adidas Campus","25 000CFA","","https://images.coinafrique.com/thumb_4979030_uploaded_image1_1728155462.jpg"
"1752103256-37","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Adidas Samba OG","25 000CFA","Mariste, Dakar, Sénégal",""
"1752103256-38","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Adidas Samba OG","25 000CFA","","https://images.coinafrique.com/thumb_4979020_uploaded_image2_1728155183.jpeg"
"1752103256-39","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike Air Force","15 000CFA","Mariste, Dakar, Sénégal",""
"1752103256-40","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike Air Force","15 000CFA","","https://images.coinafrique.com/thumb_4979006_uploaded_image1_1728154518.jpg"
"1752103256-41","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Adidas Campus","25 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752103256-42","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Adidas Campus","25 000CFA","","https://images.coinafrique.com/thumb_4977826_uploaded_image1_1728078771.jpg"
"1752103256-43","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets  Louis Vuitton Skate","Prix sur demande","Colobane, Dakar, Sénégal",""
"1752103256-44","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets  Louis Vuitton Skate","Prix sur demande","","https://images.coinafrique.com/thumb_4977275_uploaded_image1_1728055084.jpg"
"1752103256-45","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike","Prix sur demande","Colobane, Dakar, Sénégal",""
"1752103256-46","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike","Prix sur demande","","https://images.coinafrique.com/thumb_4977267_uploaded_image1_1728054967.jpg"
"1752103256-47","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Air Jordan 7 Retro","Prix sur demande","Colobane, Dakar, Sénégal",""
"1752103256-48","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Air Jordan 7 Retro","Prix sur demande","","https://images.coinafrique.com/thumb_4977259_uploaded_image1_1728054862.jpg"
"1752103256-49","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike Air Jordan Rétro 7","Prix sur demande","Colobane, Dakar, Sénégal",""
"1752103256-50","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike Air Jordan Rétro 7","Prix sur demande","","https://images.coinafrique.com/thumb_4977253_uploaded_image1_1728054749.jpg"
"1752103256-51","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike Nocta X Hot Setp","Prix sur demande","Colobane, Dakar, Sénégal",""
"1752103256-52","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike Nocta X Hot Setp","Prix sur demande","","https://images.coinafrique.com/thumb_4977249_uploaded_image1_1728054632.jpg"
"1752103256-53","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures hommes","25 000CFA","Dakar, Sénégal",""
"1752103256-54","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures hommes","25 000CFA","","https://images.coinafrique.com/thumb_4976144_uploaded_image1_1728002664.jpg"
"1752103256-55","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures rasées","20 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752103256-56","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures rasées","20 000CFA","","https://images.coinafrique.com/thumb_4974016_uploaded_image1_1727924409.jpg"
"1752103256-57","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","30 000CFA","Colobane, Dakar, Sénégal",""
"1752103256-58","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","30 000CFA","","https://images.coinafrique.com/thumb_4973154_uploaded_image1_1727887242.jpg"
"1752103256-59","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","30 000CFA","Colobane, Dakar, Sénégal",""
"1752103256-60","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","30 000CFA","","https://images.coinafrique.com/thumb_4971465_uploaded_image1_1727817450.jpg"
"1752103256-61","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","30 000CFA","Colobane, Dakar, Sénégal",""
"1752103256-62","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","30 000CFA","","https://images.coinafrique.com/thumb_4971011_uploaded_image1_1727802082.jpg"
"1752103256-63","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures","15 000CFA","Sicap Liberté, Dakar, Sénégal",""
"1752103256-64","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures","15 000CFA","","https://images.coinafrique.com/thumb_4970176_uploaded_image1_1727781060.jpg"
"1752103256-65","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures","Prix sur demande","Dakar, Sénégal",""
"1752103256-66","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures","Prix sur demande","","https://images.coinafrique.com/thumb_4970088_uploaded_image1_1727778322.jpg"
"1752103256-67","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures de sport","12 000CFA","Dakar, Sénégal",""
"1752103256-68","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures de sport","12 000CFA","","https://images.coinafrique.com/thumb_4969844_uploaded_image1_1727771604.jpg"
"1752103256-69","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Mocassins en daim","11 000CFA","Grand Yoff, Dakar, Sénégal",""
"1752103256-70","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Mocassins en daim","11 000CFA","","https://images.coinafrique.com/thumb_4969150_uploaded_image3_1727725266.jpeg"
"1752103256-71","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures en cuir","18 000CFA","Grand Yoff, Dakar, Sénégal",""
"1752103256-72","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures en cuir","18 000CFA","","https://images.coinafrique.com/thumb_4967207_uploaded_image2_1727622657.jpeg"
"1752103256-73","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sabots en cuir","13 000CFA","Grand Yoff, Dakar, Sénégal",""
"1752103256-74","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sabots en cuir","13 000CFA","","https://images.coinafrique.com/thumb_4967175_uploaded_image3_1727621292.jpeg"
"1752103256-75","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike dunk low","25 000CFA","Yoff, Dakar, Sénégal",""
"1752103256-76","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Nike dunk low","25 000CFA","","https://images.coinafrique.com/thumb_4965599_uploaded_image1_1727485372.jpg"
"1752103256-77","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Adidas Campus","25 000CFA","Dakar, Sénégal",""
"1752103256-78","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Adidas Campus","25 000CFA","","https://images.coinafrique.com/thumb_4963799_uploaded_image1_1727380149.jpg"
"1752103256-79","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures Unisexe","14 500CFA","Dakar, Sénégal",""
"1752103256-80","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures Unisexe","14 500CFA","","https://images.coinafrique.com/thumb_4962490_uploaded_image1_1727309675.jpg"
"1752103256-81","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Airf orce 1","15 000CFA","Parcelle Assainies, Dakar, Sénégal",""
"1752103256-82","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Airf orce 1","15 000CFA","","https://images.coinafrique.com/thumb_4961177_uploaded_image1_1727260953.jpg"
"1752103256-83","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets homme","20 000CFA","Parcelle Assainies, Dakar, Sénégal",""
"1752103256-84","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets homme","20 000CFA","","https://images.coinafrique.com/thumb_4961175_uploaded_image1_1727260886.jpg"
"1752103256-85","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Diamalaye 1, Dakar, Sénégal",""
"1752103256-86","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","","https://images.coinafrique.com/thumb_4958311_uploaded_image1_1727115890.jpg"
"1752103256-87","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Feiyue","12 000CFA","Dakar, Sénégal",""
"1752103256-88","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Feiyue","12 000CFA","","https://images.coinafrique.com/thumb_4958017_uploaded_image1_1727105850.jpg"
"1752103256-89","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandales Yeezy","7 000CFA","Point E, Dakar, Sénégal",""
"1752103256-90","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandales Yeezy","7 000CFA","","https://images.coinafrique.com/thumb_4956296_uploaded_image1_1727018894.jpg"
"1752103256-91","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures  de sécurité","20 000CFA","Dakar, Sénégal",""
"1752103256-92","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures  de sécurité","20 000CFA","","https://images.coinafrique.com/thumb_4955436_uploaded_image1_1726952475.jpg"
"1752103256-93","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Balenciaga Triple S","15 000CFA","Fass, Dakar, Sénégal",""
"1752103256-94","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets Balenciaga Triple S","15 000CFA","","https://images.coinafrique.com/thumb_4955206_uploaded_image1_1726938483.jpg"
"1752103256-95","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets homme","Prix sur demande","Colobane, Dakar, Sénégal",""
"1752103256-96","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets homme","Prix sur demande","","https://images.coinafrique.com/thumb_4955143_uploaded_image1_1726936250.jpg"
"1752103256-97","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets homme","Prix sur demande","Colobane, Dakar, Sénégal",""
"1752103256-98","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets homme","Prix sur demande","","https://images.coinafrique.com/thumb_4955135_uploaded_image1_1726935874.jpg"
"1752103256-99","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sneakers Lanvin","35 000CFA","Grand Dakar, Dakar, Sénégal",""
"1752103256-100","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sneakers Lanvin","35 000CFA","","https://images.coinafrique.com/thumb_4953912_uploaded_image1_1726854193.jpg"
"1752103256-101","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets New Balance 740","35 000CFA","Grand Dakar, Dakar, Sénégal",""
"1752103256-102","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets New Balance 740","35 000CFA","","https://images.coinafrique.com/thumb_4953900_uploaded_image1_1726853475.jpg"
"1752103256-103","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandale en cuir","7 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752103256-104","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandale en cuir","7 000CFA","","https://images.coinafrique.com/thumb_4953661_uploaded_image1_1726841902.jpg"
"1752103256-105","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Yoff, Dakar, Sénégal",""
"1752103256-106","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","","https://images.coinafrique.com/thumb_4950647_uploaded_image2_1726681768.jpeg"
"1752103256-107","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Yoff, Dakar, Sénégal",""
