web-scraper-order,web-scraper-start-url,types_habits,prix,adresse,image_lien-src
"1752098534-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements bébé","Prix sur demande","Ouakam, Dakar, Sénégal",""
"1752098534-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements bébé","Prix sur demande","","https://images.coinafrique.com/thumb_2961086_uploaded_image1_1613766640.jpg"
"1752098534-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfants","Prix sur demande","Ouakam, Dakar, Sénégal",""
"1752098534-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfants","Prix sur demande","","https://images.coinafrique.com/thumb_2961083_uploaded_image1_1613766533.jpg"
"1752098534-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements pour nouveau né","Prix sur demande","Ouakam, Dakar, Sénégal",""
"1752098534-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements pour nouveau né","Prix sur demande","","https://images.coinafrique.com/thumb_2959262_uploaded_image1_1613679806.jpg"
"1752098534-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfants","Prix sur demande","Ouakam, Dakar, Sénégal",""
"1752098534-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfants","Prix sur demande","","https://images.coinafrique.com/thumb_2959258_uploaded_image1_1613679707.jpg"
"1752098534-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements nouveau-né","Prix sur demande","Ouakam, Dakar, Sénégal",""
"1752098534-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements nouveau-né","Prix sur demande","","https://images.coinafrique.com/thumb_2959257_uploaded_image1_1613679631.jpg"
"1752098534-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements  bébé","Prix sur demande","Ouakam, Dakar, Sénégal",""
"1752098534-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements  bébé","Prix sur demande","","https://images.coinafrique.com/thumb_2959255_uploaded_image1_1613679558.jpg"
