web-scraper-order,web-scraper-start-url,types_habits,prix,adresse,image_lien-src
"1752100438-1","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble  homme","13 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-2","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble  homme","13 000CFA","","https://images.coinafrique.com/thumb_4879184_uploaded_image1_1722899841.jpg"
"1752100438-3","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Vetement homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal",""
"1752100438-4","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Vetement homme","Prix sur demande","","https://images.coinafrique.com/thumb_4877348_uploaded_image1_1722812292.jpg"
"1752100438-5","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chaussures homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal",""
"1752100438-6","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chaussures homme","Prix sur demande","","https://images.coinafrique.com/thumb_4877350_uploaded_image1_1722812442.jpg"
"1752100438-7","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Cargo","8 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-8","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Cargo","8 000CFA","","https://images.coinafrique.com/thumb_4877342_uploaded_image1_1722811972.jpg"
"1752100438-9","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Cuissard homme","3 000CFA","Colobane, Dakar, Sénégal",""
"1752100438-10","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Cuissard homme","3 000CFA","","https://images.coinafrique.com/thumb_4881008_uploaded_image1_1722976926.jpg"
"1752100438-11","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble Homme","10 000CFA","Dakar, Sénégal",""
"1752100438-12","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble Homme","10 000CFA","","https://images.coinafrique.com/thumb_4921412_uploaded_image1_1725199054.jpg"
"1752100438-13","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Stock limité  en cotons","10 000CFA","Dakar, Sénégal",""
"1752100438-14","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Stock limité  en cotons","10 000CFA","","https://images.coinafrique.com/thumb_4921410_uploaded_image1_1725198997.jpg"
"1752100438-15","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chemise coton","7 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-16","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Chemise coton","7 000CFA","","https://images.coinafrique.com/thumb_4874081_uploaded_image1_1722625363.jpg"
"1752100438-17","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon kaki","8 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752100438-18","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon kaki","8 000CFA","","https://images.coinafrique.com/thumb_4874090_uploaded_image1_1722625585.jpg"
"1752100438-19","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Lacoste coton","Prix sur demande","Dakar Plateau, Dakar, Sénégal",""
