types_habits,prix,adresse,image_lien-src
Chaussures Baskets,15 000CFA,Sénégal,Rien
Chaussures Baskets,15 000CFA,Rien,https://images.coinafrique.com/thumb_894226_uploaded_image1_1567186853.35.png
Chaussures enfants,8 000CFA,Sénégal,Rien
Chaussures enfants,8 000CFA,Rien,https://images.coinafrique.com/thumb_894185_uploaded_image1_1567186147.73.png
Chaussures,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures,Prix sur demande,Rien,https://images.coinafrique.com/thumb_892623_uploaded_image1_1567161532.45.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_892617_uploaded_image1_1567161496.62.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_892611_uploaded_image1_1567161455.24.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_892593_uploaded_image1_1567161453.51.png
Chaussures pour enfant,13 000CFA,Sénégal,Rien
Chaussures pour enfant,13 000CFA,Rien,https://images.coinafrique.com/thumb_884530_uploaded_image1_1566983419.29.png
Chaussures enfant,7 500CFA,"Cambérène, Dakar, Sénégal",Rien
Chaussures enfant,7 500CFA,Rien,https://images.coinafrique.com/thumb_878809_uploaded_image1_1566841399.24.png
Chaussures enfant,7 500CFA,Sénégal,Rien
Chaussures enfant,7 500CFA,Rien,https://images.coinafrique.com/thumb_878800_uploaded_image1_1566841283.51.png
Ensemble talon,15 000CFA,"Cambérène, Dakar, Sénégal",Rien
Ensemble talon,15 000CFA,Rien,https://images.coinafrique.com/thumb_861833_uploaded_image1_1566391948.31.png
Chaussures enfant,6 000CFA,"Les Parcelles Assainies, Dakar, Sénégal",Rien
Chaussures enfant,6 000CFA,Rien,https://images.coinafrique.com/thumb_854221_uploaded_image1_1566227990.03.png
Chaussures enfant,8 500CFA,"Cambérène, Dakar, Sénégal",Rien
Chaussures enfant,8 500CFA,Rien,https://images.coinafrique.com/thumb_848875_uploaded_image1_1566050610.48.png
Mocassins Enfant,Prix sur demande,"Les Parcelles Assainies, Dakar, Sénégal",Rien
Mocassins Enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_838292_uploaded_image1_1565733704.96.png
Chaussures Enfant,8 000CFA,"Les Parcelles Assainies, Dakar, Sénégal",Rien
Chaussures Enfant,8 000CFA,Rien,https://images.coinafrique.com/thumb_838285_uploaded_image1_1565733521.41.png
Chaussures enfant,8 000CFA,"Les Parcelles Assainies, Dakar, Sénégal",Rien
Chaussures enfant,8 000CFA,Rien,https://images.coinafrique.com/thumb_825843_uploaded_image1_1565308869.98.png
Chaussures enfant,8 000CFA,"Les Parcelles Assainies, Dakar, Sénégal",Rien
Chaussures enfant,8 000CFA,Rien,https://images.coinafrique.com/thumb_824543_uploaded_image1_1565279780.97.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813318_uploaded_image1_1565013222.75.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813303_uploaded_image1_1565013123.95.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813299_uploaded_image1_1565012935.88.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813287_uploaded_image1_1565012771.79.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813282_uploaded_image1_1565012680.37.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813272_uploaded_image1_1565012560.04.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813239_uploaded_image1_1565012155.7.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813230_uploaded_image1_1565011989.51.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813228_uploaded_image1_1565011936.11.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813226_uploaded_image1_1565011851.3.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813222_uploaded_image1_1565011799.02.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813213_uploaded_image1_1565011607.36.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813210_uploaded_image1_1565011527.31.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813206_uploaded_image1_1565011464.28.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813203_uploaded_image1_1565011424.68.png
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_813196_uploaded_image1_1565011238.23.png
Chaussures enfants,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures enfants,Prix sur demande,Rien,https://images.coinafrique.com/thumb_811210_uploaded_image1_1564948595.79.png
Talons rasés,Prix sur demande,Sénégal,Rien
Talons rasés,Prix sur demande,Rien,https://images.coinafrique.com/thumb_801336_uploaded_image1_1564654599.57.png
Chaussures talons fillette,Prix sur demande,Sénégal,Rien
Chaussures talons fillette,Prix sur demande,Rien,https://images.coinafrique.com/thumb_801329_uploaded_image1_1564654543.94.png
Talons fillette,Prix sur demande,Sénégal,Rien
Talons fillette,Prix sur demande,Rien,https://images.coinafrique.com/thumb_801320_uploaded_image1_1564654471.2.png
Chaussures enfant,Prix sur demande,"Biscuiterie, Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_799556_uploaded_image1_1564591363.49.png
Chaussures enfant,Prix sur demande,"Petit-Mbao, Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_799181_uploaded_image1_1564584908.27.png
Chaussures mocassins enfant,Prix sur demande,"Les Parcelles Assainies, Dakar, Sénégal",Rien
Chaussures mocassins enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_797188_uploaded_image1_1564528106.05.png
Chaussures enfants,Prix sur demande,"Fann, Dakar, Sénégal",Rien
Chaussures enfants,Prix sur demande,Rien,https://images.coinafrique.com/thumb_796883_uploaded_image1_1564515565.66.png
Chaussures enfants,Prix sur demande,"Fann, Dakar, Sénégal",Rien
Chaussures enfants,Prix sur demande,Rien,https://images.coinafrique.com/thumb_796881_uploaded_image1_1564515527.51.png
Chaussures enfant,Prix sur demande,"Fann, Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_796879_uploaded_image1_1564515493.31.png
Chaussures enfant,4 000CFA,Sénégal,Rien
Chaussures enfant,4 000CFA,Rien,https://images.coinafrique.com/thumb_792468_uploaded_image1_1564410485.85.png
Chaussures enfant,Prix sur demande,"Point E, Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_792099_uploaded_image1_1564403460.51.png
Chaussures enfant,Prix sur demande,"Point E, Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_792044_uploaded_image1_1564402826.19.png
Chaussures enfant,Prix sur demande,"Point E, Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_792041_uploaded_image1_1564402795.9.png
Chaussures enfant,Prix sur demande,"Point E, Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_792038_uploaded_image1_1564402766.76.png
Claquettes  enfants,Prix sur demande,Sénégal,Rien
Claquettes  enfants,Prix sur demande,Rien,https://images.coinafrique.com/thumb_781661_uploaded_image1_1564075024.17.png
Chaussures enfant,Prix sur demande,"Guédiawaye, Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png
Chaussures enfant,Prix sur demande,"Guédiawaye, Dakar, Sénégal",Rien
Chaussures enfant,Prix sur demande,Rien,https://images.coinafrique.com/thumb_750016_uploaded_image1_1563279645.35.png
