types_habits,prix,adresse,image_lien-src
Sandales,15 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",Rien
Sandales,15 000CFA,Rien,https://images.coinafrique.com/thumb_4986015_uploaded_image1_1728527053.jpg
Chaussures homme,30 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures homme,30 000CFA,Rien,https://images.coinafrique.com/thumb_4985654_uploaded_image1_1728506967.jpg
Crocs homme,15 000CFA,"Yoff, Dakar, Sénégal",Rien
Crocs homme,15 000CFA,Rien,https://images.coinafrique.com/thumb_4985495_uploaded_image1_1728502686.jpg
Claquettes homme,8 000CFA,"Colobane, Dakar, Sénégal",Rien
Claquettes homme,8 000CFA,Rien,https://images.coinafrique.com/thumb_4985154_uploaded_image1_1728489228.jpg
Chaussures,35 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures,35 000CFA,Rien,https://images.coinafrique.com/thumb_4984872_uploaded_image1_1728480903.jpg
Baskets Nike TN,25 000CFA,"Grand Dakar, Dakar, Sénégal",Rien
Baskets Nike TN,25 000CFA,Rien,https://images.coinafrique.com/thumb_4983389_uploaded_image1_1728406729.jpg
Baskets homme,15 000CFA,"Yoff, Dakar, Sénégal",Rien
Baskets homme,15 000CFA,Rien,https://images.coinafrique.com/thumb_4982916_uploaded_image1_1728392811.jpg
Chaussure,25 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussure,25 000CFA,Rien,https://images.coinafrique.com/thumb_4982698_uploaded_image1_1728385862.jpg
Chaussures original,15 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures original,15 000CFA,Rien,https://images.coinafrique.com/thumb_4982686_uploaded_image1_1728385451.jpg
Chaussures,32 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures,32 000CFA,Rien,https://images.coinafrique.com/thumb_4982679_uploaded_image1_1728385118.jpg
Chaussures hommes femmes,14 500CFA,"Dakar, Sénégal",Rien
Chaussures hommes femmes,14 500CFA,Rien,https://images.coinafrique.com/thumb_4982051_uploaded_image1_1728346387.jpg
Baskets Adidas,25 000CFA,"Dakar, Sénégal",Rien
Baskets Adidas,25 000CFA,Rien,https://images.coinafrique.com/thumb_4981775_uploaded_image1_1728333662.jpg
Chaussures homme,Prix sur demande,"Colobane, Dakar, Sénégal",Rien
Chaussures homme,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4981539_uploaded_image1_1728321968.jpg
Baskets Jordan One,23 000CFA,"Dakar, Sénégal",Rien
Baskets Jordan One,23 000CFA,Rien,https://images.coinafrique.com/thumb_4981453_uploaded_image1_1728317927.jpg
Chaussures Unisexes,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures Unisexes,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4980037_uploaded_image1_1728234420.jpg
Chaussures,Prix sur demande,"Yoff, Dakar, Sénégal",Rien
Chaussures,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4979364_uploaded_image1_1728178405.jpg
Baskets New Balance 1000,25 000CFA,"Mariste, Dakar, Sénégal",Rien
Baskets New Balance 1000,25 000CFA,Rien,https://images.coinafrique.com/thumb_4979032_uploaded_image1_1728155699.jpg
Baskets Adidas Campus,25 000CFA,"Mariste, Dakar, Sénégal",Rien
Baskets Adidas Campus,25 000CFA,Rien,https://images.coinafrique.com/thumb_4979030_uploaded_image1_1728155462.jpg
Baskets Adidas Samba OG,25 000CFA,"Mariste, Dakar, Sénégal",Rien
Baskets Adidas Samba OG,25 000CFA,Rien,https://images.coinafrique.com/thumb_4979020_uploaded_image2_1728155183.jpeg
Baskets Nike Air Force,15 000CFA,"Mariste, Dakar, Sénégal",Rien
Baskets Nike Air Force,15 000CFA,Rien,https://images.coinafrique.com/thumb_4979006_uploaded_image1_1728154518.jpg
Baskets Adidas Campus,25 000CFA,"Dakar Plateau, Dakar, Sénégal",Rien
Baskets Adidas Campus,25 000CFA,Rien,https://images.coinafrique.com/thumb_4977826_uploaded_image1_1728078771.jpg
Baskets  Louis Vuitton Skate,Prix sur demande,"Colobane, Dakar, Sénégal",Rien
Baskets  Louis Vuitton Skate,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4977275_uploaded_image1_1728055084.jpg
Baskets Nike,Prix sur demande,"Colobane, Dakar, Sénégal",Rien
Baskets Nike,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4977267_uploaded_image1_1728054967.jpg
Baskets Air Jordan 7 Retro,Prix sur demande,"Colobane, Dakar, Sénégal",Rien
Baskets Air Jordan 7 Retro,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4977259_uploaded_image1_1728054862.jpg
Baskets Nike Air Jordan Rétro 7,Prix sur demande,"Colobane, Dakar, Sénégal",Rien
Baskets Nike Air Jordan Rétro 7,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4977253_uploaded_image1_1728054749.jpg
Baskets Nike Nocta X Hot Setp,Prix sur demande,"Colobane, Dakar, Sénégal",Rien
Baskets Nike Nocta X Hot Setp,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4977249_uploaded_image1_1728054632.jpg
Chaussures hommes,25 000CFA,"Dakar, Sénégal",Rien
Chaussures hommes,25 000CFA,Rien,https://images.coinafrique.com/thumb_4976144_uploaded_image1_1728002664.jpg
Chaussures rasées,20 000CFA,"Dakar Plateau, Dakar, Sénégal",Rien
Chaussures rasées,20 000CFA,Rien,https://images.coinafrique.com/thumb_4974016_uploaded_image1_1727924409.jpg
Chaussures homme,30 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures homme,30 000CFA,Rien,https://images.coinafrique.com/thumb_4973154_uploaded_image1_1727887242.jpg
Chaussures homme,30 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures homme,30 000CFA,Rien,https://images.coinafrique.com/thumb_4971465_uploaded_image1_1727817450.jpg
Chaussures homme,30 000CFA,"Colobane, Dakar, Sénégal",Rien
Chaussures homme,30 000CFA,Rien,https://images.coinafrique.com/thumb_4971011_uploaded_image1_1727802082.jpg
Chaussures,15 000CFA,"Sicap Liberté, Dakar, Sénégal",Rien
Chaussures,15 000CFA,Rien,https://images.coinafrique.com/thumb_4970176_uploaded_image1_1727781060.jpg
Chaussures,Prix sur demande,"Dakar, Sénégal",Rien
Chaussures,Prix sur demande,Rien,https://images.coinafrique.com/thumb_4970088_uploaded_image1_1727778322.jpg
Chaussures de sport,12 000CFA,"Dakar, Sénégal",Rien
Chaussures de sport,12 000CFA,Rien,https://images.coinafrique.com/thumb_4969844_uploaded_image1_1727771604.jpg
Mocassins en daim,11 000CFA,"Grand Yoff, Dakar, Sénégal",Rien
Mocassins en daim,11 000CFA,Rien,https://images.coinafrique.com/thumb_4969150_uploaded_image3_1727725266.jpeg
Chaussures en cuir,18 000CFA,"Grand Yoff, Dakar, Sénégal",Rien
