types_habits,prix,adresse,image_lien-src
Vêtements bébé,Prix sur demande,"Ouakam, Dakar, Sénégal",Rien
Vêtements bébé,Prix sur demande,Rien,https://images.coinafrique.com/thumb_2961086_uploaded_image1_1613766640.jpg
Vêtements enfants,Prix sur demande,"Ouakam, Dakar, Sénégal",Rien
Vêtements enfants,Prix sur demande,Rien,https://images.coinafrique.com/thumb_2961083_uploaded_image1_1613766533.jpg
Vêtements pour nouveau né,Prix sur demande,"Ouakam, Dakar, Sénégal",Rien
Vêtements pour nouveau né,Prix sur demande,Rien,https://images.coinafrique.com/thumb_2959262_uploaded_image1_1613679806.jpg
Vêtements enfants,Prix sur demande,"Ouakam, Dakar, Sénégal",Rien
Vêtements enfants,Prix sur demande,Rien,https://images.coinafrique.com/thumb_2959258_uploaded_image1_1613679707.jpg
Vêtements nouveau-né,Prix sur demande,"Ouakam, Dakar, Sénégal",Rien
Vêtements nouveau-né,Prix sur demande,Rien,https://images.coinafrique.com/thumb_2959257_uploaded_image1_1613679631.jpg
Vêtements  bébé,Prix sur demande,"Ouakam, Dakar, Sénégal",Rien
Vêtements  bébé,Prix sur demande,Rien,https://images.coinafrique.com/thumb_2959255_uploaded_image1_1613679558.jpg
Vêtements bébé,Prix sur demande,"Ouakam, Dakar, Sénégal",Rien
Vêtements bébé,Prix sur demande,Rien,https://images.coinafrique.com/thumb_2959248_uploaded_image2_1613679445.jpeg
Kit de prière pour garçon,20 000CFA,"Dakar, Sénégal",Rien
Kit de prière pour garçon,20 000CFA,Rien,https://images.coinafrique.com/thumb_2959193_uploaded_image1_1613676990.jpg
Kit de prière pour fille,20 000CFA,"Dakar, Sénégal",Rien
Kit de prière pour fille,20 000CFA,Rien,https://images.coinafrique.com/thumb_2959180_uploaded_image1_1613676547.jpg
Vêtements bébé,3 000CFA,"Dakar, Sénégal",Rien
Vêtements bébé,3 000CFA,Rien,https://images.coinafrique.com/thumb_2958974_uploaded_image1_1613669656.jpg
Vêtement bébé,3 000CFA,"Dakar, Sénégal",Rien
Vêtement bébé,3 000CFA,Rien,https://images.coinafrique.com/thumb_2958970_uploaded_image1_1613669538.jpg
Sous vêtements fille,3 500CFA,"Dakar, Sénégal",Rien
Sous vêtements fille,3 500CFA,Rien,https://images.coinafrique.com/thumb_2956441_uploaded_image1_1613569974.jpg
Robe pour filles,6 000CFA,"Dakar, Sénégal",Rien
